model,variant,seed,status,data,epochs_max,patience,imgsz,batch,device,mosaic,mixup,cutmix,erasing,precision,recall,mAP50,mAP50_95,inference_ms,best_weights,elapsed_seconds
yolov8n.pt,baseline,0,complete,dataset_yolo_mask_original/railway_defect_copypaste.yaml,100,20,640,-1,0,0.0,0.0,0.0,0.0,0.7100623349105523,0.6715116167361437,0.7066752421624418,0.3911514350743246,2.1281427170118588,runs\detect\priority_reviewer_gpu\yolov8n_baseline_seed0_e100_i640\weights\best.pt,9.819202184677124
yolov8n.pt,baseline,1,complete,dataset_yolo_mask_original/railway_defect_copypaste.yaml,100,20,640,-1,0,0.0,0.0,0.0,0.0,0.7143208810196116,0.6771313228452192,0.742701282843997,0.40506119069341456,3.820979737498787,runs\detect\priority_reviewer_gpu\yolov8n_baseline_seed1_e100_i640\weights\best.pt,7.975474834442139
yolov8n.pt,baseline,2,complete,dataset_yolo_mask_original/railway_defect_copypaste.yaml,100,20,640,-1,0,0.0,0.0,0.0,0.0,0.6920704667382616,0.7017109795737365,0.7126784861782083,0.39215344070391434,3.9722808751832237,D:\gulsiArticleProject\Архив\runs\detect\priority_reviewer_gpu\yolov8n_baseline_seed2_e100_i640\weights\best.pt,188.5867075920105
yolov8n.pt,mosaic,0,complete,dataset_yolo_mask_original/railway_defect_copypaste.yaml,100,20,640,-1,0,1.0,0.0,0.0,0.0,0.6873314874366103,0.7317326684939557,0.7249234043688461,0.37845389198240886,3.906794394669908,D:\gulsiArticleProject\Архив\runs\detect\priority_reviewer_gpu\yolov8n_mosaic_seed0_e100_i640\weights\best.pt,263.054500579834
yolov8n.pt,mosaic,1,complete,dataset_yolo_mask_original/railway_defect_copypaste.yaml,100,20,640,-1,0,1.0,0.0,0.0,0.0,0.812224450894431,0.6875917760187673,0.7588723022038479,0.40576273357124143,3.354820203077927,D:\gulsiArticleProject\Архив\runs\detect\priority_reviewer_gpu\yolov8n_mosaic_seed1_e100_i640\weights\best.pt,218.27484130859375
yolov8n.pt,mosaic,2,complete,dataset_yolo_mask_original/railway_defect_copypaste.yaml,100,20,640,-1,0,1.0,0.0,0.0,0.0,0.7513491178815508,0.6760253979234678,0.7348613852967599,0.41532685854739493,3.9134797629680524,D:\gulsiArticleProject\Архив\runs\detect\priority_reviewer_gpu\yolov8n_mosaic_seed2_e100_i640\weights\best.pt,167.06877660751343
yolov8n.pt,mixup,0,complete,dataset_yolo_mask_original/railway_defect_copypaste.yaml,100,20,640,-1,0,0.0,0.2,0.0,0.0,0.623097827275931,0.6931137393037105,0.6844836747932233,0.3962197314031141,4.142943790621972,D:\gulsiArticleProject\Архив\runs\detect\priority_reviewer_gpu\yolov8n_mixup_seed0_e100_i640\weights\best.pt,188.22957563400269
yolov8n.pt,mixup,1,complete,dataset_yolo_mask_original/railway_defect_copypaste.yaml,100,20,640,-1,0,0.0,0.2,0.0,0.0,0.7724210674633704,0.6904604704368004,0.7311955605154019,0.3886983421376618,4.242980873651719,D:\gulsiArticleProject\Архив\runs\detect\priority_reviewer_gpu\yolov8n_mixup_seed1_e100_i640\weights\best.pt,226.1414144039154
yolov8n.pt,mixup,2,complete,dataset_yolo_mask_original/railway_defect_copypaste.yaml,100,20,640,-1,0,0.0,0.2,0.0,0.0,0.7349097865027988,0.6642931661176561,0.6981654744155787,0.38068309790740285,3.8307831528481473,D:\gulsiArticleProject\Архив\runs\detect\priority_reviewer_gpu\yolov8n_mixup_seed2_e100_i640\weights\best.pt,264.2122685909271
yolov8n.pt,cutmix,0,complete,dataset_yolo_mask_original/railway_defect_copypaste.yaml,100,20,640,-1,0,0.0,0.0,0.2,0.0,0.7558756693218398,0.6873178863042395,0.7184675722694887,0.3931231922061527,3.644530316082279,D:\gulsiArticleProject\Архив\runs\detect\priority_reviewer_gpu\yolov8n_cutmix_seed0_e100_i640\weights\best.pt,220.52052664756775
yolov8n.pt,cutmix,1,complete,dataset_yolo_mask_original/railway_defect_copypaste.yaml,100,20,640,-1,0,0.0,0.0,0.2,0.0,0.7394790957876545,0.6800879688984257,0.7133039304896741,0.3919664727751389,3.109125818094511,D:\gulsiArticleProject\Архив\runs\detect\priority_reviewer_gpu\yolov8n_cutmix_seed1_e100_i640\weights\best.pt,171.47621774673462
yolov8n.pt,cutmix,2,complete,dataset_yolo_mask_original/railway_defect_copypaste.yaml,100,20,640,-1,0,0.0,0.0,0.2,0.0,0.7150286566233317,0.7234039823938594,0.7328609300974405,0.3839860806417231,4.197997742154625,D:\gulsiArticleProject\Архив\runs\detect\priority_reviewer_gpu\yolov8n_cutmix_seed2_e100_i640\weights\best.pt,209.4356770515442
yolov8n.pt,random_erasing,0,complete,dataset_yolo_mask_original/railway_defect_copypaste.yaml,100,20,640,-1,0,0.0,0.0,0.0,0.4,0.6906542215714314,0.7040120575658341,0.7113355287546279,0.38115584182728207,3.795631460092041,D:\gulsiArticleProject\Архив\runs\detect\priority_reviewer_gpu\yolov8n_random_erasing_seed0_e100_i640\weights\best.pt,184.69040417671204
yolov8n.pt,random_erasing,1,complete,dataset_yolo_mask_original/railway_defect_copypaste.yaml,100,20,640,-1,0,0.0,0.0,0.0,0.4,0.7222699913853219,0.6521953761787519,0.6988675792364574,0.37761369440736664,4.038208990954281,D:\gulsiArticleProject\Архив\runs\detect\priority_reviewer_gpu\yolov8n_random_erasing_seed1_e100_i640\weights\best.pt,181.86482620239258
yolov8n.pt,random_erasing,2,complete,dataset_yolo_mask_original/railway_defect_copypaste.yaml,100,20,640,-1,0,0.0,0.0,0.0,0.4,0.6920704667382616,0.7017109795737365,0.7126784861782083,0.39215344070391434,4.050728080145428,D:\gulsiArticleProject\Архив\runs\detect\priority_reviewer_gpu\yolov8n_random_erasing_seed2_e100_i640\weights\best.pt,182.09396839141846
yolov8n.pt,mask_guided,0,complete,dataset_yolo_mask_copypaste/railway_defect_copypaste.yaml,100,20,640,-1,0,0.0,0.0,0.0,0.0,0.8602088858363833,0.6243805829811093,0.7705937859605075,0.402491718401736,3.200591008147497,D:\gulsiArticleProject\Архив\runs\detect\priority_reviewer_gpu\yolov8n_mask_guided_seed0_e100_i640\weights\best.pt,342.4678897857666
yolov8n.pt,mask_guided,1,complete,dataset_yolo_mask_copypaste/railway_defect_copypaste.yaml,100,20,640,-1,0,0.0,0.0,0.0,0.0,0.6652342168208694,0.6591740048193282,0.6800545713698405,0.35928520274631925,4.412295506074188,D:\gulsiArticleProject\Архив\runs\detect\priority_reviewer_gpu\yolov8n_mask_guided_seed1_e100_i640\weights\best.pt,337.23981189727783
yolov8n.pt,mask_guided,2,complete,dataset_yolo_mask_copypaste/railway_defect_copypaste.yaml,100,20,640,-1,0,0.0,0.0,0.0,0.0,0.7356582924122972,0.6328566898185257,0.6892976404979374,0.3556679619833183,4.383206765136022,D:\gulsiArticleProject\Архив\runs\detect\priority_reviewer_gpu\yolov8n_mask_guided_seed2_e100_i640\weights\best.pt,255.27686166763306
yolov8n.pt,baseline,3,complete,dataset_yolo_mask_original/railway_defect_copypaste.yaml,100,20,640,-1,0,0.0,0.0,0.0,0.0,0.7216444354899212,0.6731575517368515,0.7323134907720474,0.3856669114511064,3.5292101458887037,D:\gulsiArticleProject\Архив\runs\detect\priority_reviewer_gpu\yolov8n_baseline_seed3_e100_i640\weights\best.pt,178.71660041809082
